,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,fs_price,lang_factor
0,2579282005.730768,422164816.9346938,127894446.63075025,588256285.5312,66816945.35999999,394791540.0,385.11636377564787,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.0
1,2533343476.6629944,464381298.6281632,129160941.08155434,588256285.5312,66816945.35999999,394791540.0,308.00288762787176,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.1
2,2487404947.5952187,506597780.3216327,130427435.53235841,588256285.5312,66816945.35999999,394791540.0,249.5646428761324,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.2000000000000002
3,2441466418.527444,548814262.015102,131693929.98316249,588256285.5312,66816945.35999999,394791540.0,205.3079553421703,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.3000000000000003
4,2395527889.459668,591030743.7085716,132960424.43396659,588256285.5312,66816945.35999999,394791540.0,171.67977583781112,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.4000000000000004
5,2349589360.391893,633247225.402041,134226918.88477066,588256285.5312,66816945.35999999,394791540.0,145.9121462032758,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.5000000000000004
6,2303650831.3241186,675463707.0955104,135493413.33557475,588256285.5312,66816945.35999999,394791540.0,125.9179146662416,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.6000000000000005
7,2257712302.2563434,717680188.7889798,136759907.78637883,588256285.5312,66816945.35999999,394791540.0,110.16871783142106,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.7000000000000006
8,2211773773.1885676,759896670.4824492,138026402.23718292,588256285.5312,66816945.35999999,394791540.0,97.56479974794561,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.8000000000000007
9,2165835244.1207933,802113152.1759186,139292896.687987,588256285.5312,66816945.35999999,394791540.0,87.3192303064024,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.9000000000000008
10,2119896715.0530174,844329633.869388,140559391.13879108,588256285.5312,66816945.35999999,394791540.0,78.86703255583454,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.000000000000001
11,2073958185.9852452,886546115.5628574,141825885.58959526,588256285.5312005,66816945.35999999,394791540.00000054,71.79888708271453,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.100000000000001
12,2028019656.9174707,928762597.2563269,143092380.04039934,588256285.5312005,66816945.35999999,394791540.00000054,65.81459119839322,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.200000000000001
13,1982081127.8496952,970979078.9497963,144358874.49120343,588256285.5312005,66816945.35999999,394791540.00000054,60.69093133699999,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.300000000000001
14,1936142598.7819202,1013195560.6432657,145625368.94200748,588256285.5312005,66816945.35999999,394791540.00000054,56.259585773362744,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.4000000000000012
15,1890204069.7141445,1055412042.3367351,146891863.3928116,588256285.5312005,66816945.35999999,394791540.00000054,52.39186204398592,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.5000000000000013
16,1844265540.64637,1097628524.0302045,148158357.84361565,588256285.5312005,66816945.35999999,394791540.00000054,48.98806230711823,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.6000000000000014
17,1798327011.5785947,1139845005.7236738,149424852.29441974,588256285.5312005,66816945.35999999,394791540.00000054,45.96998943572004,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.7000000000000015
